lieu;titre;adresse;ville;code_postal;code_insee
la petite halle;fungi triptyque;211 avenue jean jaures;paris;75019;75119
mediatheque francoise sagan;atelier d'ecriture avec flora delalande a partir des livres d'artiste de frederique le lous delpech;8 rue leon schwartzenberg;paris;75010;75110
square rene le gall;bibliotheques hors les murs 2022 (glaciere - marina tsvetaieva et italie) : lectures au jardin !;28, rue de croulebarbe;paris;75013;75113
square saint-eloi;bibliotheques hors les murs 2022 - saint eloi;11, rue du colonel-rozanoff;paris;75012;75112
bibliotheque oscar wilde;rencontre theatrale pour la piece les dix commandements de dorothy dix;12 rue du telegraphe;paris;75020;75120
parc monceau;rendez-vous aux jardins - conte en famille;35, boulevard de courcelles;paris;75008;75108
la bellevilloise;angel haze, en concert et presentation de son nouvel ep;19-21 rue boyer;paris;75020;75120
non renseigne;les bibliotheques hors les murs 2022;non renseigne;non renseigne;75000;
supersonic;plastic mermaids, paradoxant, wheobe, trio de concerts pop/rock;9 rue biscornet;paris;75012;75112
philharmonie de paris;concerto pour public : a vous de jouer !;221 avenue jean jaures;paris;75019;75119
parc zoologique de paris;les nocturnes et silent zoo au parc zoologique de paris;route de la ceinture du lac;paris;75012;75112
village mouffetard;ceramique mouffetard;rue de bazeilles et rue censier;paris;75005;75105
cours avril nathalie;stage de dessin cet ete a paris;24 rue leon frot;paris;75011;75111
le 360 paris music factory;cyril atef   papatef  fete la musique;32 rue myrha;paris;75018;75118
non renseigne;festival et 20 l'ete;non renseigne;non renseigne;75000;
le hasard ludique;ateliers signes avec bebe: parents/enfant 0-3 ans;128 av. de saint-ouen, 75018;paris;75018;75118
bibliotheque du cinema francois truffaut;jeu de pistes : chicorelys ou lepopee des plantes magiques...;4, rue du cinema;paris;75001;75101
square charles hermite;paris sport dimanches : square charles hermite;40 rue charles hermitte;paris;75018;75118
le hasard ludique;moonchild sanelly;128 avenue de saint-ouen;paris;75018;75118
bibliotheque francois-mitterrand;ce monde qui nous regarde : 15 ans de l'agence noor;quai francois mauriac;paris;75706;
bibliotheque glaciere - marina tsvetaieva;tournicoti : les histoires du mercredi;132 rue de la glaciere;paris;75013;75113
new morning;djam en concert au new morning;9 rue des petites ecuries;paris;75010;75110
musee cernuschi - musee des arts de l'asie de la ville de paris;stage dinitiation a la gravure;7 avenue velasquez;paris;75008;75108
parc floral de paris;ambrose akinmusire quartet;route de la pyramide;paris;75012;75112
musee carnavalet-histoire de paris;atelier enfants : decorer une maison a lutece;23 rue de sevigne;paris;75003;75103
crypte archeologique de l'ile de la cite;visite-promenade en famille : la crypte dessous-dessus;place jean-paul ii;paris;75004;75104
mediatheque francoise sagan;permanences numeriques;8 rue leon schwartzenberg;paris;75010;75110
egouts de paris;sortie 13/30 ans;93 quai d'orsay;paris;75007;75107
ferme de paris;le jardin des proportions;1, route du pesage;paris;75012;75112
la grande halle de la villette; pop air  a la villette, une experience sacrement gonflee !;211 avenue jean jaures;paris;75019;75119
la ferme de paris;laine en couleurs !;1, route du pesage;paris;75012;75112
parc de la villette;le cinema en plein air mene la danse a la villette;prairie du cercle nord;paris;75019;75119
bibliotheque glaciere - marina tsvetaieva;"atelier ""les petits explorateurs au portugal""";132 rue de la glaciere;paris;75013;75113
pavillon de l'arsenal;rencontre avec marie tesson (scau);21 boulevard morland;paris;75004;75104
hotel de ville de paris;concert d'exception au profit de la recherche contre le cancer;3 rue lobau;paris;75004;75104
philharmonie de paris;concert les arts florissants;221 avenue jean jaures;paris;75019;75119
bibliotheque universitaire des langues et civilisations (bulac);le role des revues egyptiennes dans la nahda;65 rue des grands moulins;paris;75013;75113
la bellevilloise;peach tree rascals;19-21 rue boyer;paris;75020;75120
maison de la culture du japon a paris;"exposition photographique ""yokohama shashin, le japon mis en couleur""";101 bis quai jacques chirac;paris;75015;75115
patronage laique - maison pour tous;"colloque ""la maternite au prisme du handicap"" - femmes pour le dire, femmes pour agir";61, rue violet;paris;75015;75115
cinema le louxor;les cine-concerts du louxor !;170, boulevard magenta;paris;75010;75110
sunset & sunside;fete de la musique avec clemence de tournemire quartet;60 rue des lombards;paris;75001;75101
fgo-barbara;kidromi + o'o en concert a fgo-barbara;1 rue fleury;paris;75018;75118
centre paris anim' victor gelez;"exposition ""drag queer"" dambroise au centre victor gelez";1-3 rue victor gelez;paris;75011;75111
arta, association de recherche des traditions de l'acteur;la morsure de tarentule - atelier de theatre et mouvement danse;6 rte du champ de manuvre;paris;75012;75112
mediatheque jean-pierre melville;debat : femmes et feminismes au portugal;79 rue nationale;paris;75013;75113
bibliotheque de l'hotel de ville (bhdv);le portugal contemporain, si loin, si proche;5 rue lobau;paris;75004;75104
memorial de la shoah;"""heimat, un espace dans le temps (heimat ist ein raum aus zeit)"" de thomas heise";17 rue geoffroy l'asnier;paris;75004;75104
bibliotheque francois-mitterrand;visages de lexploration au xixe siecle - du mythe a lhistoire;quai francois mauriac;paris;75706;
bibliotheque fessart;soiree jeux de societe;6 rue fessart;paris;75019;75119
mini-creche municipale masse;les samedis en famille  creche victor masse;43 rue victor masse;paris;75009;75109
creche municipale villiot;les samedis en famille  creche villiot;11 rue villiot;paris;75012;75112
halte-garderie alphonse penaud;les samedis en famille  halte-garderie alphonse penaud;34 rue alphonse penaud;paris;75020;75120
centre cuturel coreen;exposition dart nft et visite de galerie virtuelle sur le theme de la fete des lanternes bouddhiques;20 rue la boetie;paris;75008;75108
quartier latin;un jeu de piste / enquete dans paris : le paris est tout vert;square paul langevin;paris;75005;75105
la bellevilloise;beirut electro parade;19-21 rue boyer;paris;75020;75120
centre pompidou;final -manifeste 2022 se termine sur un eclat de rire salvateur;pompidou;paris;75004;75104
bibliotheque benoite groult;vive les vacances;25 rue du commandant rene mouchotte;paris;75014;75114
quai des celestins;bal arrange, dansons tous ensemable;voie georges pompidou;paris;75004;75104
le carreau du temple;sobanova dance awards #6;2 rue perree;paris;75003;75103
non renseigne;les nuits des forets 2022;non renseigne;non renseigne;75000;
arboretum de paris;l'arboretum de paris;route de la pyramide;paris;75012;75112
l'atelier montmartre;exposition de photographie  vie nocturne  par dimitri sandler;6 rue burq;paris;75018;75118
bois de vincennes;le festival we love green fait son grand retour !;route de la pyramide;paris;75012;75112
centre paris anim' arras;stages ete 2022;48 rue du cardinal lemoine;paris;75005;75105
a la folie theatre;a la folie theatre - cours de theatre ados;6, rue de la folie mericourt;paris;75011;75111
paris expo - hall 5.1;paris philex 2022, le salon du timbre, de l'ecrit et de la collection;porte de versailles;paris;75015;75115
non renseigne;omma  josef nadj;non renseigne;non renseigne;75000;
petit palais - musee des beaux-arts de la ville de paris;se mobiliser a paris pendant la guerre d'algerie, une journee d'etude du comite d'histoire de la ville de paris;2 avenue winston-churchill;paris;75008;75108
centre culturel irlandais;les gros patinent bien, cabaret en carton  pierre guillois et olivier martin-salvan;5 rue des irlandais;paris;75005;75105
theatre de l'atelier;des cometes  laure brisa;1 place charles dullin;paris;75018;75118
la recyclerie; pragmatique  et surtout pas  punitive  : l'ecologie de droite peut-elle nous sauver ?;83 boulevard ornano;paris;75018;75118
fgo-barbara;diam min tekky soiree de soutient a l'apdm;1 rue fleury;paris;75018;75118
betonsalon - centre d'art et de recherche;recettes magiques, atelier 6-12 ans;9 esplanade pierre vidal-naquet;paris;75013;75113
parc floral de paris;brad mehldau & ian bostridge | yom & leo jassef;route de la pyramide;paris;75012;75112
non renseigne;festival du mieux manger;non renseigne;non renseigne;75000;
bibliotheque parmentier;table ronde : nos identites celles qu'on nous impose celles qu'on cache;20bis avenue parmentier;paris;75011;75111
