url;url_contact;telephone;email;facebook
https://www.paris.fr/evenements/fungi-triptyque-20195;non renseigne;non renseigne;non renseigne;https://fb.me/e/1vSP3JlrL
https://www.paris.fr/evenements/atelier-d-ecriture-avec-flora-delalande-a-partir-des-livres-d-artiste-de-frederique-le-lous-delpech-19653;https://mediathequeducarresaintlazare.wordpress.com/;non renseigne;bibliotheque.heurejoyeuse-patrimoine@paris.fr;https://www.facebook.com/mediathequefrancoisesagan
https://www.paris.fr/evenements/bibliotheque-hors-les-murs-glaciere-marina-tsvetaieva-et-italie-lectures-au-jardin-18252;non renseigne;145895547;non renseigne;non renseigne
https://www.paris.fr/evenements/bibliotheques-hors-les-murs-2022-saint-eloi-17278;non renseigne;153447030;bibliotheque.saint-eloi@paris.fr;https://fr-fr.facebook.com/bibliothequesainteloi/
https://www.paris.fr/evenements/rencontre-theatrale-pour-la-piece-les-dix-commandements-de-dorothy-dix-20273;https://www.colline.fr/spectacles/les-dix-commandements-de-dorothy-dix;non renseigne;non renseigne;non renseigne
https://www.paris.fr/evenements/rendez-vous-aux-jardins-conte-en-famille-20239;https://www.cernuschi.paris.fr/fr/activites-et-evenements?date=04-06-2022&type=&public=;153962150;non renseigne;non renseigne
https://www.paris.fr/evenements/angel-haze-20338;non renseigne;non renseigne;non renseigne;non renseigne
https://www.paris.fr/evenements/les-bibliotheque-hors-les-murs-2022-19512;non renseigne;144788050;non renseigne;https://www.facebook.com/Bibliotheques.Paris/
https://www.paris.fr/evenements/plastic-mermaids-paradoxant-wheobe-supersonic-free-entry-20402;http://supersonic-club.fr/;non renseigne;non renseigne;https://fb.me/e/1zqE4Ilx1
https://www.paris.fr/evenements/concerto-pour-public-orchestre-atelier-ostinato-jean-luc-tingaud-rossini-campogrande-18909;https://philharmoniedeparis.fr/fr/activite/22788;non renseigne;non renseigne;https://www.facebook.com/PhilharmoniedeParis
https://www.paris.fr/evenements/les-nocturnes-et-silent-zoo-au-parc-zoologique-de-paris-20435;https://www.parczoologiquedeparis.fr/fr;non renseigne;non renseigne;non renseigne
https://www.paris.fr/evenements/ceramique-mouffetard-20095;https://www.ceramiquemouffetard.com/;662649938;non renseigne;non renseigne
https://www.paris.fr/evenements/stage-de-dessin-cet-ete-a-paris-20470;https://www.coursdedessinparis.com/stage-de-dessin-a-paris-le-27-juin-ete-2022.html;661574049;avril75011@gmail.com;non renseigne
https://www.paris.fr/evenements/cyril-atef-papatef-fete-la-musique-20504;https://le360paris.com/;non renseigne;non renseigne;non renseigne
https://www.paris.fr/evenements/festival-et-20-l-ete-20485;https://www.et20lete.com/;143152273;festival.et20lete@gmail.com;https://www.facebook.com/et20lete/
https://www.paris.fr/evenements/ateliers-signes-avec-bebe-parents-enfant-0-3-ans-11107;https://compagniemaya.com/signes-avec-bebe/;612966598;contact@compagniemaya.com;https://www.facebook.com/compagniemaya75011
https://www.paris.fr/evenements/jeu-de-pistes-chicorelys-ou-l-epopee-des-plantes-magiques-17982;https://bibliocite.fr/evenements/;33144788050;non renseigne;https://www.facebook.com/bibliothequeducinemafrancoistruffaut
https://www.paris.fr/evenements/paris-sport-dimanches-square-charles-hermite-20537;non renseigne;non renseigne;non renseigne;non renseigne
https://www.paris.fr/evenements/moonchild-sanelly-20572;https://www.lehasardludique.paris/concert/2022-04-15/moonchild-sanelly;non renseigne;non renseigne;https://www.facebook.com/events/514144236785886
https://www.paris.fr/evenements/ce-monde-qui-nous-regarde-15-ans-de-l-agence-noor-19720;https://www.bnf.fr/fr;non renseigne;non renseigne;non renseigne
